wti,spread,n_completed,n_overruns,ess_d,tail_ess,n_admissible,n_eligible,wti_weighted_mean,brent_weighted_mean,wti_bias_abs,wti_bias_rel,ev_usd,cvar_usd,var_usd,decision_ratio,p_loss,mean_delta_usd,std_delta_usd,skew_delta,median_delta_usd,p10_delta_usd,p90_delta_usd,sigma_calibration_obs,scenario_price_range
60.5,6.5,10000,0,113.69373645473377,10.672814207650273,200,1917,60.97809043532731,66.5700999094505,0.4780904353273101,0.0079023212450795,1229908.2391542888,5501943.614555914,4671532.556607798,0.2235406840412631,0.3632,-82487.06206099999,408302.320366265,-0.509955698097703,-64266.93000000017,-586560.7800000003,435018.2999999989,749,10.0
60.75,3.5,10000,0,85.7349990683029,9.056002318336594,149,1917,60.51156003518815,65.23943915584724,0.2384399648118531,0.0039249376923761,1824618.9811347225,5081813.169279559,3420853.1005930444,0.3590488119801138,0.2787,-68127.55681499996,398038.0023792696,-1.0033444285186086,-37329.300000000745,-537061.9800000004,371336.1900000018,676,10.0
60.75,3.75,10000,0,89.92899960283317,9.069143147355437,156,1917,60.58061880260798,65.33405205087128,0.1693811973920205,0.0027881678583048,1898796.3589075287,5049943.77396242,3634751.6677345,0.376003465364852,0.2783,-76222.81567899998,391073.7884739589,-0.9945361052092856,-38943.5400000005,-550769.3400000003,368956.4399999995,688,10.0
60.75,4.0,10000,0,93.51904417835782,8.83766968325792,163,1917,60.656279718352366,65.44045272896626,0.0937202816476343,0.0015427206855577,1751890.5983837266,5128167.312606825,3783181.1216764,0.3416211858136859,0.2918,-85122.66739099997,400524.23389120953,-0.8993127794179624,-49910.05500000029,-592652.9400000004,366481.5000000009,693,10.0
60.75,4.25,10000,0,98.39592908520034,9.680167273290484,170,1917,60.79654330196609,65.59950596450783,0.0465433019660892,0.0007661448883306,1757305.834589254,5080832.423273247,3709926.435134005,0.3458696702020212,0.287,-89248.88950599998,402363.0521970086,-0.8971518848938373,-43406.6400000006,-605027.6400000004,362483.5199999992,704,10.0
60.75,4.5,10000,0,100.77079528214426,9.888458191598763,174,1917,60.82135335426628,65.65145518760774,0.0713533542662787,0.0011745408109675,1769426.8077847946,5006131.634192728,3612739.917792023,0.3534519139886992,0.2833,-99213.89333999998,409273.5687080422,-0.8017348698310462,-54480.60000000056,-606550.6800000011,363245.0399999996,716,10.0
60.75,4.75,10000,0,103.85422595419932,10.1857887874837,177,1917,60.88822059115087,65.77144709673324,0.1382205911508691,0.002275236068327,1760938.044271054,4936316.565724249,3492497.1666117413,0.356731182213532,0.2815,-102994.846695,407592.66906034655,-0.8957401900306253,-54480.59999999963,-627072.2000000001,362483.5199999994,722,10.0
60.75,5.0,10000,0,108.47198537829802,10.641920653839604,182,1917,60.97181612248772,65.90804050826401,0.2218161224877164,0.0036512941973286,1706797.725697129,5129012.067590692,3707518.710672169,0.3327731935906484,0.2922,-95728.62220299998,404726.86920161,-0.665250874901454,-53068.140000000014,-618718.4700000002,370860.23999999976,726,10.0
60.75,5.25,10000,0,110.74828980425757,11.27446559033102,187,1917,61.02397964302352,66.03247605849279,0.2739796430235159,0.0045099529715805,1630008.762660283,5203498.970625759,3899317.484881632,0.3132524426086823,0.2974,-104785.16068299997,412603.0207794641,-0.71272511074835,-59017.800000000745,-636630.7199999997,378475.4399999998,735,10.0
60.75,5.5,10000,0,114.72085875253303,11.02001234241382,195,1917,61.068841862521424,66.16292126539626,0.318841862521424,0.0052484257205172,1501923.5598300411,5331249.729516945,4523501.75153773,0.2817207289154935,0.3198,-111551.83842899997,418680.5138693389,-0.6837440993116264,-65578.50000000047,-637201.8599999996,375810.120000001,742,10.0
60.75,5.75,10000,0,113.02848479568074,10.748065348237317,194,1917,61.19432434150448,66.39864551283308,0.4443243415044762,0.0073139809301148,1276153.3104277905,5501488.353993026,4688089.700361909,0.2319651025892925,0.3468,-96301.73907699996,417555.3320066383,-0.5238637135209636,-59222.4299999997,-636630.7199999997,410268.9000000004,750,10.0
60.75,6.0,10000,0,112.1501233157292,11.840484986265038,192,1917,61.23514775780785,66.51346227195802,0.4851477578078516,0.0079859713219399,1239636.4715415568,5482779.78082482,4729581.92306039,0.2260963454846381,0.3596,-107332.66293699996,421055.2259836349,-0.5552840135810453,-69614.1000000001,-636630.7199999997,410078.5200000005,751,10.0
60.75,6.25,10000,0,113.51909473058336,10.871455905374846,196,1917,61.2502211911434,66.6587893417406,0.5002211911434031,0.0082340936813728,1277986.0608888909,5531304.202101475,4740737.046915731,0.2310460633142096,0.3506,-91358.84676399996,407493.4118250585,-0.4314864358756656,-59979.10499999998,-613499.5499999993,410078.5200000005,758,10.0
